Date,Pollster,Answer,Percent
12/12/2019,BMG Research,remain,49
12/12/2019,BMG Research,leave,41
12/12/2019,BMG Research,no answer / don't know,10
06/12/2019,BMG Research,remain,51
06/12/2019,BMG Research,leave,42
06/12/2019,BMG Research,no answer / don't know,7
29/11/2019,BMG Research,remain,50
29/11/2019,BMG Research,leave,42
29/11/2019,BMG Research,no answer / don't know,8
21/11/2019,BMG Research,remain,51
21/11/2019,BMG Research,leave,43
21/11/2019,BMG Research,no answer / don't know,6
15/11/2019,BMG Research,remain,50
15/11/2019,BMG Research,leave,42
15/11/2019,BMG Research,no answer / don't know,8
30/10/2019,Survation,remain,52
30/10/2019,Survation,leave,45
30/10/2019,Survation,no answer / don't know,3
18/10/2019,Survation,remain,49
18/10/2019,Survation,leave,46
18/10/2019,Survation,no answer / don't know,5
04/10/2019,BMG Research,remain,49
04/10/2019,BMG Research,leave,44
04/10/2019,BMG Research,no answer / don't know,7
25/09/2019,Survation,remain,51
25/09/2019,Survation,leave,45
25/09/2019,Survation,no answer / don't know,4
06/09/2019,Survation,remain,50
06/09/2019,Survation,leave,44
